512.34	0.05
545.25	0.05
569.94	0.05
602.85	0.07
623.42	0.08
648.1	0.05
685.13	0.05
705.7	0.05
722.15	0.05
742.72	0.07
771.52	0.04
763.29	0.06
779.75	0.05
787.97	0.05
796.2	0.07
808.54	0.08
833.23	0.06
853.8	0.04
866.14	0.05
878.48	0.05
894.94	0.05
903.16	0.05
915.51	0.05
956.65	0.04
968.99	0.08
973.1	0.11
973.1	0.13
977.22	0.15
985.44	0.15
989.56	0.12
997.78	0.06
1014.24	0.05
1047.15	0.05
1059.49	0.05
1104.75	0.04
1117.09	0.05
1141.77	0.05
1158.23	0.06
1170.57	0.07
1174.68	0.06
1191.14	0.04
1199.37	0.05
1203.48	0.07
1211.71	0.11
1215.82	0.14
1219.94	0.16
1224.05	0.25
1228.16	0.28
1236.39	0.35
1240.51	0.33
1244.62	0.29
1244.62	0.26
1248.73	0.21
1252.85	0.18
1256.96	0.13
1265.19	0.07
1273.42	0.05
1285.76	0.04
1298.1	0.05
1310.44	0.06
1322.78	0.08
1331.01	0.13
1339.24	0.2
1339.24	0.25
1343.35	0.32
1347.47	0.39
1347.47	0.44
1351.58	0.51
1351.58	0.55
1359.81	0.61
1363.92	0.59
1363.92	0.53
1368.04	0.44
1368.04	0.36
1372.15	0.31
1376.27	0.24
1376.27	0.18
1380.38	0.12
1384.49	0.08
1396.84	0.05
1405.06	0.06
1413.29	0.07
1421.52	0.06
1433.86	0.05
1454.43	0.05
1483.23	0.04
1520.25	0.04
1557.28	0.05
1569.62	0.05
1590.19	0.05
1610.76	0.07
1623.1	0.13
1631.33	0.2
1635.44	0.29
1639.56	0.33
1639.56	0.36
1643.67	0.41
1647.78	0.46
1643.67	0.48
1647.78	0.54
1647.78	0.6
1651.9	0.67
1656.01	0.72
1656.01	0.75
1664.24	0.76
1668.35	0.71
1668.35	0.65
1672.47	0.56
1676.58	0.47
1676.58	0.42
1680.7	0.33
1684.81	0.29
1684.81	0.26
1693.04	0.18
1697.15	0.13
1705.38	0.08
1713.61	0.06
1721.84	0.05
1738.29	0.05
1750.63	0.04
1762.97	0.04
1787.66	0.04
